CUE,Nombre,Domicilio,Sendero,Ambito,BARRIO,Comuna,DE,X,Y,y_lat,x_long
202218,Florence Nightingale School,Bulnes 2571,SE14BA,privada,PALERMO,14,1,105194,105194,-34.582436,-58.406689
200047,Instituto Bayard (sede),Castex 3348,SE14BA,privada,PALERMO,14,1,105291,105662,-34.578224,-58.405643
200483,Instituto Bayard (anexo),Jeronimo Salguero 2969,SE14BA,privada,PALERMO,14,1,105247,105669,-34.578135,-58.406121
202612,Escuela Infantil Mi Tiempo,Bulnes 2585,SE14BA,privada,PALERMO,14,1,105199,105209,-34.582301,-58.406634
201884,Jardin de Infantes Boomerang,Cerviño 3447,SE14BA,privada,PALERMO,14,1,105100,105407,-34.580517,-58.407715
200709,Jardin de Infantes Integral Nº 01 DE 01º America Latina,Julian Alvarez 2849,SE14BB,publica,PALERMO,14,1,104785,104980,-34.584367,-58.411145
200710,Esc. Primaria Comun Nº 12 DE 01º Gral. Las Heras,Julian Alvarez 2849,SE14BB,publica,PALERMO,14,1,104785,104980,-34.584367,-58.411145
200714,Esc. Primaria Comun Nº 26 DE 01º Adolfo Van Gelderen,Jeronimo Salguero 2455,SE14BB,publica,PALERMO,14,1,104891,105122,-34.583087,-58.409991
202955,Jardin de Infantes Comun Nº 09 DE 01º,Jeronimo Salguero 2455,SE14BB,publica,PALERMO,14,1,104891,105122,-34.583087,-58.409991
200787,Esc. de Educacion Especial (Niños con Severos Trastornos de la Personalidad) Nº 17 Arminda Aberastury,Raul Scalabrini Ortiz 2760,SE14BB,publica,PALERMO,14,9,104533,105061,-34.583638,-58.413893
200716,Instituto Sta. Teresa de Jesus,Raul Scalabrini Ortiz 2999,SE14BB,privada,PALERMO,14,1,104776,105209,-34.582303,-58.411245
201319,Instituto Lange Ley,Raul Scalabrini Ortiz 2840,SE14BB,privada,PALERMO,14,9,104617,105124,-34.58307,-58.412977
201318,Esc. de Jardineria Cristobal M. Hicken,Av. Gral. Las Heras 4078,SE14BC,publica,PALERMO,14,9,104287,105235,-34.582071,-58.416575
201314,Asociacion Comunidad Israelita Sefaradi Argentina,Juan Maria Gutierrez 3972,SE14BC,privada,PALERMO,14,9,104383,105421,-34.580394,-58.415529
200809,Esc. Primaria Comun Nº 11 DE 09º Manuela Pedraza,Malabia 2252,SE14BD,publica,PALERMO,14,9,103902,104748,-34.586462,-58.420769
200123,Colegio de los Niños (anexo 1: Escuela Infantil El Patito Feo),Malabia 2370,SE14BD,privada,PALERMO,14,9,104057,104857,-34.585479,-58.41908
